PART NUMBER,GROUP,CUST PRICE,RET PRICE,CATEGORY
001000UC,PRICEGROUP1,33.45,83.0477,3050
001000UC,PRICEGROUP2,33.45,83.0477,3040
001000UC,PRICEGROUP3,36.9106,83.0477,3030
001000UC,PRICEGROUP4,41.5239,83.0477,3020
001000UC,PRICEGROUP5,44.9836,83.0477,3010
001000UC,PRICEGROUP6,33.45,83.0477,3031
001000UC,PRICEGROUP7,41.5239,83.0477,3021
001020,PRICEGROUP1,49.5961,110.7302,3050
001020,PRICEGROUP2,49.5961,110.7302,3040
001020,PRICEGROUP3,53.0619,110.7302,3030
001020,PRICEGROUP4,56.5167,110.7302,3020
001020,PRICEGROUP5,59.9825,110.7302,3010
001020,PRICEGROUP6,49.5983,110.7302,3031
001020,PRICEGROUP7,56.4724,110.7302,3021
001020UC,PRICEGROUP1,49.5961,110.7302,3050
001020UC,PRICEGROUP2,49.5961,110.7302,3040
001020UC,PRICEGROUP3,53.0619,110.7302,3030
001020UC,PRICEGROUP4,56.5167,110.7302,3020
001020UC,PRICEGROUP5,59.9825,110.7302,3010
001020UC,PRICEGROUP6,49.5983,110.7302,3031
001020UC,PRICEGROUP7,56.4724,110.7302,3021
001040,PRICEGROUP1,33.45,83.0477,3050
001040,PRICEGROUP2,33.45,83.0477,3040
001040,PRICEGROUP3,36.9106,83.0477,3030
001040,PRICEGROUP4,41.5239,83.0477,3020
001040,PRICEGROUP5,44.9836,83.0477,3010
001040,PRICEGROUP6,33.45,83.0477,3031
001040,PRICEGROUP7,41.5239,83.0477,3021
001040UC,PRICEGROUP1,33.45,83.0477,3050
001040UC,PRICEGROUP2,33.45,83.0477,3040
001040UC,PRICEGROUP3,36.9106,83.0477,3030
001040UC,PRICEGROUP4,41.5239,83.0477,3020
001040UC,PRICEGROUP5,44.9836,83.0477,3010
001040UC,PRICEGROUP6,33.45,83.0477,3031
001040UC,PRICEGROUP7,41.5239,83.0477,3021
001110,PRICEGROUP1,33.45,83.0477,3050
001110,PRICEGROUP2,33.45,83.0477,3040
001110,PRICEGROUP3,36.9106,83.0477,3030
001110,PRICEGROUP4,41.5239,83.0477,3020
001110,PRICEGROUP5,44.9836,83.0477,3010
001110,PRICEGROUP6,33.45,83.0477,3031
001110,PRICEGROUP7,41.5239,83.0477,3021
001120,PRICEGROUP1,33.45,83.0477,3050
001120,PRICEGROUP2,33.45,83.0477,3040
001120,PRICEGROUP3,36.9106,83.0477,3030
001120,PRICEGROUP4,41.5239,83.0477,3020
001120,PRICEGROUP5,44.9836,83.0477,3010
001120,PRICEGROUP6,33.45,83.0477,3031
001120,PRICEGROUP7,41.5239,83.0477,3021
001120UC,PRICEGROUP1,33.45,83.0477,3050
001120UC,PRICEGROUP2,33.45,83.0477,3040
001120UC,PRICEGROUP3,36.9106,83.0477,3030
001120UC,PRICEGROUP4,41.5239,83.0477,3020
001120UC,PRICEGROUP5,44.9836,83.0477,3010
001120UC,PRICEGROUP6,33.45,83.0477,3031
001120UC,PRICEGROUP7,41.5239,83.0477,3021
