Customer,Company name,Category
AUT64,AUTOPRO ROXBY DOWNS,3021
AUT71,AUTOPRO DONNYBROOK,3021
AUT72,AUTOPRO TOM PRICE,3021
AUT74,AUTOPRO MIDLAND,3021
AUT75,AUTOPRO SOUTH HEDLAND,3021
AUT83,AUTOMOTIVE SUPPLIES NZ LTD,3050
AUT88,AUTOPRO MALAGA,3021
AUT89,AUTO CABLE & ACCESSORIES,3010
AUT90,AUTO AGENCIES P/L,3030
AUT93,AUTOMATE SPARES,3010
AUT999,AUTOMOTIVE BRANDS GROUP PTY LT,3021
AUTAB,AUTOLINE SALES,3020
AUTAB1,AUTOLINE SALES,3020
AUTB0,AUTOBARN DARWIN,3021
AUTB01,AUTOBARN BELLBIRD PARK,3021
AUTB09,AUTOBARN HEATHERBRAE,3021
AUTB1,AUTOBARN LAUNCESTON,3021
AUTB10,AUTOBARN HYPERDOME,3021
AUTB11,AUTOBARN SALE,3021
AUTB12,AUTOBARN BRAYBROOK,3021
AUTB13,AUTOBARN AIRPORT WEST,3021
AUTB14,AUTOBARN EDWARDSTOWN,3021
AUTB15,AUTOBARN CANNINGTON,3021
AUTB16,AUTOBARN BUSSELTON,3021
AUTB17,AUTOBARN CRAIGIEBURN,3021
AUTB18,AUTOBARN OSBORNE PARK,3021
AUTB19,AUTOBARN WAGGA WAGGA,3021
AUTB2,AUTOBARN NOOSA,3021
AUTB20,AUTOBARN ORANGE,3021
AUTB21,AUTOBARN ARMADALE,3021
AUTB23,AUTOBARN CARINGBAH,3021
AUTB24,AUTOBARN OCONNOR,3021
AUTB25,AUTOBARN GOULBURN,3021
AUTB26,AUTOBARN COBURG,3021
AUTB27,AUTOBARN GRAFTON,3021
AUTB28,AUTOBARN ENOGGERA,3021
AUTB29,AUTOBARN MOORABBIN DFO,3021
AUTB3,AUTOBARN LOGAN CITY,3021
AUTB30,AUTOBARN MIDLAND,3021
AUTB31,AUTOBARN MINCHINBURY,3021
AUTB32,AUTOBARN ERINA,3021
AUTB33,AUTOBARN ELLENBROOK,3021
AUTB34,AUTOBARN MALAGA,3021
AUTB35,AUTOBARN WARRAGUL,3021
AUTB36,AUTOBARN BELMONT,3021
AUTB37,AUTOBARN MANDURAH,3021
AUTB38,AUTOBARN BRENDALE,3021
AUTB39,AUTOPRO WHYALLA,3021
AUTB4,AUTOBARN RINGWOOD,3021
AUTB40,AUTOBARN PAKENHAM,3021
AUTB41,AUTOBARN LAKE HAVEN,3021
AUTB42,AUTOBARN PORT KENNEDY,3021
AUTB43,AUTOBARN KALGOORLIE,3021
AUTB44,AUTOBARN BUTLER,3021
AUTB45,AUTOBARN COCKBURN,3021
AUTB46,AUTOBARN FAIRFIELD,3021
AUTB47,AUTOBARN PORT STEPHENS,3021
AUTB5,AUTOBARN BALLINA,3021
AUTB6,AUTOBARN BATHURST,3021
AUTB7,AUTOBARN DELACOMBE,3021
AUTB8,AUTOBARN KWINANA,3021
AUTB9,AUTOBARN SUNSHINE(Store ID: 31,3021
AUTO1,AUTO BRAKE SERVICE DERWENT PAR,3020
AUTO10,AUTO ONE FYSHWICK,3030
AUTO11,AUTO ONE SINGLETON,3030
AUTO5,AUTOPARTS WORLD P/L,3031
AUTO7,AUTO ONE NSW DISTRIBUTION,3030
AUTO8,AUTO ONE BELCONNEN,3030
AUTO9,Closing  2nd April,3030
AVE00,AVESKA PTY LTD,3030
B-R00,B&R BRAKES BLACKTOWN,3030
B-R01,B&R BRAKES CASTLE HILL,3030
BAI02,AUTOBARN BAIRNSDALE,3021
BAL09,LUSKY'S AUTOMOTIVE,3030
BAL15,BALLARAT INDUSTRIAL SUPPLIES,3010
BAL20,AUTOBARN BALLARAT,3021
BAL27,BALANCE AUTOMOTIVE P/L,3050
BAN05,AUTOBARN BANKSTOWN,3021
BAR21,BARRO GROUP PTY LIMITED,3030
BAR32,BARWON BRAKE AND CLUTCH,3050
BAR33,BARTON MOTORS PTY LTD,3020
BAT05,BATEMANS BAY BRAKE AND CLUTCH,3030
BAT09,BATES FARM MACHINERY PTY LTD,3030
BAY12,AUTOBARN BAYSWATER,3021
BCW00,ROLLING BEARINGS WEST,3030
BDB00,B & D BAILEYS BRAKE & CLUTCH S,3030
BEA10,BEARINGS & INDUSTRIAL SUPPLIES,3030
BEE00,BEERWAH AUTOMOTIVE PARTS,3020
BEE02,AUSSIE AUTO BEENLEIGH,3010
BEE03,AUTOBARN BEENLEIGH,3021
BEE05,BEENLEIGH BEARINGS & SUSPENSIO,3020
BEE10,A1 AUTOPARTS BENDIGO,3020
BEL22,AUTOBARN BELCONNEN,3021
BEL28,BELLE-VUE TRADING PTY LTD,3010
BEN05,AUTOBARN BENDIGO,3021
BEN09,AUTOBARN BENDIGO,3021
BEN13,BENDIGO SPEEDOMETER & INSTRUME,3030
BEN15,BENDIGO SPECIALIST BRAKE AND C,3050
BEN16,BENPARTS PTY LTD,3020
BET01,BETTER BRAKES (VICTORIA) PTY L,3050
BET02,BETTER BRAKES GOLD COAST PTY L,3030
BET03,BETTER BRAKES CHELTENHAM PTY L,3030
BJB00,BSC INDUSTRIAL,3030
BKB02,BKB PUMPING SOLUTIONS,3030
BLA02,AUTOBARN BLACKTOWN,3021
BLA09,BLACKTOWN AUTO SPARES,3031
BLA21,BLACKTOWN AUTO ONE,3020
BLA24,A1 AUTO PARTS BLACKTOWN,3020
BLI01,B-LINE AUTO,3030
BNR01,B&R BRAKES CASTLE HILL,3030
BP000,B&P BRAKE PERFORMANCE,3020
BPW00,BP WILLOW SERVICE STN,3050
BRA11,BRAKE & CLUTCH SUPPLIES,3010
BRA12,BRAKE CLUTCH & SUSPENSIONS,3030
BRA14,AUTOPARTS CENTRAL,3040
BRA17,BRAKELAND,3030
BRA18,BRAKE AND CLUTCH SERVICE,3030
BRA19,BRAMAC POWER BRAKE SPECIALISTS,3030
BRA20,BRAKES PLACE MITCHAM,3030
BRA34,AUTOPARTS CENTRAL,3040
BRA42,BRAKENAUTO PARTS,3010
