"Part No""",Available Stock,Site
001130UC,0,WHS01
001130UC,0,TAS01
001130UC,0,DCV01
"=""001400""",0,DCV01
"=""001400""",1,SA001
"=""001400""",0,AC001
"=""001400""",1,TAS01
"=""001400""",1,NSW01
"=""001400""",0,VIC01
"=""001400""",0,WA001
"=""001400""",1,QLD01
"=""001400""",13,WHS01
"=""001400""",0,DCV02
"=""001410""",0,DCV02
"=""001410""",7,WHS01
"=""001410""",1,QLD01
"=""001410""",1,WA001
"=""001410""",0,VIC01
"=""001410""",1,SA001
"=""001410""",1,NSW01
"=""001410""",1,TAS01
"=""001410""",0,AC001
"=""001410""",1,DCV01
"=""001421""",0,DCV01
"=""001421""",0,TAS01
"=""001421""",0,WA001
"=""001421""",0,QLD01
"=""001421""",0,SA001
"=""001421""",0,VIC01
"=""001421""",0,NSW01
"=""001421""",0,WHS01
"=""001421""",0,AC001
"=""001421""",0,DCV02
"=""001440""",0,DCV02
"=""001440""",0,AC001
"=""001440""",11,WHS01
"=""001440""",1,NSW01
"=""001440""",1,QLD01
"=""001440""",1,SA001
"=""001440""",1,TAS01
"=""001440""",0,VIC01
"=""001440""",1,WA001
"=""001440""",1,DCV01
001440UC,0,WHS01
"=""001452""",0,DCV01
"=""001452""",0,AC001
"=""001452""",2,DCV02
"=""001452""",4,NSW01
"=""001452""",0,QLD01
"=""001452""",1,SA001
"=""001452""",1,TAS01
"=""001452""",0,VIC01
"=""001452""",2,WA001
"=""001452""",16,WHS01
001452UC,0,DCV02
001452UC,5,NSW01
001452UC,2,QLD01
001452UC,0,VIC01
001452UC,2,WA001
001452UC,1,SA001
001452UC,0,AC001
001452UC,2,TAS01
001452UC,15,WHS01
001452UC,2,DCV01
"=""001500""",0,QLD01
"=""001500""",0,WA001
"=""001500""",0,DCV01
"=""001500""",1,WHS01
"=""001500""",0,NSW01
"=""001500""",0,VIC01
"=""001500""",0,SA001
"=""001500""",0,AC001
"=""001500""",0,DCV02
"=""001500""",0,TAS01
"=""001700""",0,DCV02
"=""001700""",0,AC001
"=""001700""",0,SA001
"=""001700""",1,WHS01
